MUS | 4531 | Vocal Pedagogy I | P MUS 2112 MUS 2162 | C
MUS | 4532 | Music Pedagogy | P MUS 2112 MUS 2162 | C
MUS | 4541 | Vocal Pedagogy II | P MUS 2112 MUS 2162 | C
MUS | 4543 | Music Performance-Private Instruction V | P MUS 2112 MUS 2162 MUS 3543 | C
MUS | 4552 | Supervised Student Teaching | P MUS 4532 | C
MUS | 4561 | Senior Recital | P MUS 2112 MUS 2162 | C MUS 4543 MUS 4142
MUS | 4581 | Chamber Music | P | C
MUS | 4803 | Seminar in Music Marketing | P MUS 2263 MUS 3613 | C
MUS | 4911 | Independent Study | P | C
MUS | 4912 | Independent Study | P | C
MUS | 4913 | Independent Study | P | C
MUS | 4933 | Music Marketing Internship | P MKT 3013 MUS 3613 MUS 4803 | C
MUS | 4951 | Special Studies in Music | P | C
MUS | 4952 | Special Studies in Music | P | C
MUS | 4953 | Special Studies in Music | P | C
MUS | 4961 | Music Technology Project | P | C
